,Date,close,volume,ttm_net_eps,pe_ratio,ttm_sales_per_share,book_value_per_share,ttm_fcf_per_share,current_assets,current_ratio,current_assets___inventory,quick_ratio,total_liabilities,debt_to_equity_ratio,return_on_equity,return_on_assets,tangible_equity,return_on_tangible_equity,current_liabilities,shareholder's_equity,ttm_net_income,cash_on_hand,total_share_holder_equity,revenue,gross_profit,operating_income,ebitda,net_income,eps_earnings_per_share_diluted,ps_ratio,pb_ratio,pfcf_ratio,total_assets,Industry,Ticker,pe_ratio_industry_avg
20,2014-03-31,72.99706455983606,4442983.606557377,4.82,15.02282158,24.78,26.25,4.96,56.41,2.2,48.53,1.89,58.63,0.79,19.73,10.94,23.31,71.01,25.68,74.05,13.83,29206.0,74053.0,18355.0,12400.0,2750.0,4004.0,3519.0,1.22,2.9221146090000003,2.75847619,14.59879032,132.68,Healthcare,JNJ,17.09298183122222
21,2014-06-30,80.14080556206349,8778650.793650793,5.24,14.92748092,24.96,27.08,5.49,57.37,2.41,49.36,2.07,56.75,0.74,20.77,11.65,26.76,68.32,23.84,76.58,15.06,29392.0,76582.0,18115.0,12660.0,5424.0,6591.0,4727.0,1.64,3.133814103,2.888478582,14.24772313,133.33,Healthcare,JNJ,18.582123174555555
22,2014-09-30,82.79634702140625,6464853.125,5.42,15.47785978,25.56,27.65,5.83,60.12,2.47,51.96,2.13,57.15,0.73,20.84,11.78,28.94,63.82,24.36,78.05,15.55,31624.0,78048.0,19495.0,13456.0,5626.0,6720.0,4326.0,1.51,3.282081377,3.033996383,14.38936535,135.2,Healthcare,JNJ,20.00234701666667
23,2014-12-31,84.68517041234375,6547070.3125,6.04,14.24668874,25.91,27.31,6.76,59.97,2.61,51.55,2.24,55.51,0.73,22.7,12.99,28.65,64.36,22.98,76.59,17.32,33005.0,76591.0,18467.0,13068.0,6810.0,7897.0,4749.0,1.66,3.32111154,3.150860491,12.72928994,132.1,Healthcare,JNJ,24.95502443333333
24,2015-03-31,82.28560413377049,4399396.721311475,5.7,14.90701754,25.91,25.06,6.85,55.74,2.23,47.56,1.9,60.61,0.87,21.69,12.3,20.7,62.16,25.03,69.75,16.32,33089.0,69752.0,18254.0,12401.0,2703.0,3850.0,2521.0,0.89,3.279428792,3.39066241,12.40437956,130.36,Healthcare,JNJ,26.619890545555556
25,2015-06-30,81.60113065190477,6141988.888888889,5.59,14.72450805,25.75,24.45,6.56,58.19,2.44,50.11,2.1,60.71,0.89,21.78,12.1,19.51,65.1,23.84,67.88,15.92,31319.0,67878.0,17374.0,12092.0,5575.0,6627.0,4320.0,1.53,3.196504854,3.366462168,12.5472561,128.59,Healthcare,JNJ,25.44821354111111
26,2015-09-30,79.4005538221875,11156667.1875,5.69,14.11775044,25.29,25.69,6.8,61.0,2.49,52.7,2.15,60.91,0.86,22.58,12.32,22.62,70.43,24.51,71.13,16.11,33954.0,71131.0,17787.0,12430.0,5741.0,6785.0,4516.0,1.61,3.17635429,3.126897626,11.81323529,132.04,Healthcare,JNJ,26.86753019555556
27,2015-12-31,83.18104147953125,11400121.875,5.23,14.82600382,24.94,25.86,6.13,63.49,2.51,55.29,2.19,61.71,0.86,21.0,11.23,24.29,67.57,25.26,71.55,14.72,37306.0,71554.0,17102.0,11878.0,4122.0,5206.0,3358.0,1.2,3.109061748,2.99845321,12.64926591,133.27,Healthcare,JNJ,22.871477384444447
28,2016-03-31,86.28790545934427,3870757.37704918,5.49,15.6557377,24.9,25.82,6.96,60.21,2.17,52.16,1.88,62.26,0.88,21.88,11.69,23.76,68.35,27.75,71.15,15.41,38376.0,71150.0,17811.0,12138.0,3758.0,5004.0,3215.0,1.14,3.451807229,3.328814872,12.34913793,133.41,Healthcare,JNJ,24.221788491111113
29,2016-06-30,95.36496055203125,5296532.8125,5.5,16.58,24.98,26.4,6.66,62.74,2.83,54.57,2.47,63.58,0.88,21.71,11.62,24.96,65.03,22.13,72.65,15.55,39855.0,72647.0,17482.0,12153.0,5294.0,6428.0,4457.0,1.59,3.650520416,3.454166667,13.69219219,136.23,Healthcare,JNJ,22.489345044444445
30,2016-09-30,102.52069068328125,8307885.9375,5.32,19.35150376,25.27,26.47,6.19,66.29,3.08,57.77,2.68,67.34,0.93,20.88,11.08,24.68,61.54,21.54,72.47,15.03,42584.0,72473.0,18482.0,13146.0,4904.0,6082.0,3997.0,1.43,4.074000791,3.889308651,16.63166397,139.81,Healthcare,JNJ,23.61722938111111
31,2016-12-31,98.27382708269842,6190200.0,5.65,17.86371681,25.58,26.73,5.86,63.32,2.73,54.83,2.36,67.6,0.93,22.06,11.6,21.96,66.88,23.23,72.77,15.94,40433.0,72769.0,17820.0,12334.0,5281.0,6478.0,4272.0,1.53,3.945660672,3.77590722,17.22354949,140.37,Healthcare,JNJ,24.464913686666666
32,2017-03-31,102.31226250725805,5493877.419354838,5.88,16.85714286,25.74,26.02,6.03,65.03,2.47,56.89,2.16,70.79,1.01,22.95,11.86,20.74,71.66,26.29,70.42,16.54,41907.0,70418.0,18106.0,12468.0,4324.0,5663.0,3814.0,1.38,3.8508158510000006,3.809377402,16.43781095,141.21,Healthcare,JNJ,21.500880257777776
33,2017-06-30,109.97050149365079,4728180.952380952,5.95,18.12605042,25.95,26.1,6.33,63.35,2.52,54.47,2.17,74.58,1.06,23.08,11.66,16.03,79.16,25.12,70.34,16.51,39343.0,70341.0,17766.0,12357.0,5575.0,6812.0,4422.0,1.61,4.156069364,4.132183908,17.03791469,144.92,Healthcare,JNJ,24.10329047333333
34,2017-09-30,114.99634442857143,5750000.0,5.92,19.47804054,26.21,26.78,6.62,38.79,1.34,29.09,1.01,80.89,1.13,22.89,11.28,-14.25,146.93,28.87,71.92,16.34,12853.0,71922.0,18839.0,12993.0,4748.0,6230.0,3827.0,1.4,4.399465853,4.305825243,17.418429,152.81,Healthcare,JNJ,25.692912138888893
35,2017-12-31,121.58275084126984,5736900.0,5.76,19.80034722,26.99,27.55,7.11,41.83,1.32,32.31,1.02,81.68,1.1,22.08,10.65,-11.9,596.35,31.81,73.98,15.83,16231.0,73979.0,19650.0,12725.0,4790.0,6804.0,3764.0,1.37,4.225639126,4.139745917,16.04078762,155.66,Healthcare,JNJ,25.43279173777778
